,train,val,test
0,normal_087,normal_009,normal_032
1,normal_045,test_015,normal_138
2,normal_115,normal_136,test_042
3,normal_064,normal_095,test_070
4,normal_106,test_012,normal_052
5,normal_058,test_127,normal_069
6,normal_085,test_098,test_080
7,normal_154,test_085,normal_027
8,normal_134,normal_100,normal_028
9,normal_117,test_007,normal_050
10,normal_040,test_123,test_100
11,normal_127,normal_066,normal_062
12,normal_070,test_086,normal_105
13,normal_072,test_062,normal_103
14,normal_041,normal_076,normal_109
15,normal_159,normal_102,test_050
16,normal_078,test_120,test_089
17,normal_126,normal_037,normal_043
18,normal_101,normal_097,test_043
19,normal_089,normal_001,normal_080
20,normal_003,normal_145,normal_093
21,normal_065,normal_150,normal_079
22,normal_007,normal_133,normal_048
23,normal_104,normal_008,normal_152
24,normal_016,test_052,test_071
25,normal_026,test_065,tumor_100
26,normal_057,tumor_054,tumor_078
27,normal_116,tumor_010,tumor_051
28,normal_073,tumor_029,tumor_102
29,normal_128,tumor_075,tumor_061
30,normal_010,tumor_066,test_051
31,normal_059,tumor_021,test_075
32,normal_114,tumor_026,test_084
33,normal_018,tumor_019,test_105
34,normal_036,tumor_042,tumor_081
35,normal_029,tumor_108,tumor_071
36,normal_148,tumor_038,tumor_045
37,normal_125,tumor_005,tumor_059
38,normal_119,test_121,test_066
39,normal_071,tumor_111,test_113
40,normal_137,,
41,normal_061,,
42,normal_157,,
43,normal_038,,
44,normal_034,,
45,normal_075,,
46,normal_139,,
47,normal_149,,
48,normal_002,,
49,normal_160,,
50,normal_156,,
51,normal_120,,
52,normal_142,,
53,normal_042,,
54,normal_056,,
55,normal_055,,
56,normal_053,,
57,normal_090,,
58,normal_035,,
59,normal_107,,
60,normal_044,,
61,normal_092,,
62,normal_047,,
63,normal_051,,
64,normal_017,,
65,normal_074,,
66,normal_131,,
67,normal_118,,
68,normal_146,,
69,normal_049,,
70,normal_132,,
71,normal_039,,
72,normal_033,,
73,normal_144,,
74,normal_063,,
75,normal_108,,
76,normal_129,,
77,normal_019,,
78,normal_111,,
79,normal_046,,
80,normal_025,,
81,normal_084,,
82,normal_030,,
83,normal_113,,
84,normal_024,,
85,normal_083,,
86,normal_068,,
87,normal_004,,
88,normal_112,,
89,normal_143,,
90,normal_130,,
91,normal_060,,
92,test_003,,
93,test_005,,
94,test_006,,
95,test_009,,
96,normal_124,,
97,test_014,,
98,test_017,,
99,test_018,,
100,test_019,,
101,test_020,,
102,normal_020,,
103,test_022,,
104,test_023,,
105,test_024,,
106,test_025,,
107,test_028,,
108,normal_088,,
109,test_031,,
110,test_032,,
111,test_034,,
112,test_035,,
113,test_036,,
114,test_037,,
115,test_039,,
116,normal_153,,
117,test_041,,
118,test_044,,
119,test_045,,
120,test_047,,
121,test_053,,
122,test_054,,
123,test_055,,
124,test_056,,
125,test_057,,
126,test_058,,
127,test_059,,
128,test_060,,
129,test_063,,
130,test_067,,
131,normal_091,,
132,test_072,,
133,test_076,,
134,test_077,,
135,test_078,,
136,test_081,,
137,normal_081,,
138,test_083,,
139,test_087,,
140,test_088,,
141,test_091,,
142,test_093,,
143,test_095,,
144,test_096,,
145,test_101,,
146,normal_006,,
147,test_103,,
