,train,val,test
0,normal_052,test_060,normal_087
1,normal_045,test_077,normal_075
2,normal_115,normal_138,normal_100
3,normal_064,normal_072,normal_147
4,normal_145,normal_076,normal_084
5,normal_085,test_093,test_083
6,normal_154,normal_065,normal_066
7,normal_134,test_014,normal_106
8,normal_117,normal_032,normal_067
9,normal_040,normal_104,normal_041
10,normal_008,test_055,test_043
11,normal_127,test_006,test_089
12,normal_070,normal_068,test_009
13,normal_078,test_017,normal_148
14,normal_126,normal_058,test_054
15,normal_101,normal_155,test_005
16,normal_089,normal_003,test_035
17,normal_007,test_031,normal_159
18,normal_001,normal_103,normal_077
19,normal_016,test_042,normal_063
20,normal_026,normal_107,normal_122
21,normal_057,normal_146,test_127
22,normal_116,test_070,test_025
23,normal_150,test_015,normal_142
24,normal_073,tumor_110,tumor_098
25,normal_128,tumor_038,test_071
26,normal_010,tumor_036,tumor_033
27,normal_059,tumor_065,tumor_106
28,normal_114,tumor_028,tumor_039
29,normal_080,tumor_043,test_030
30,normal_018,tumor_089,test_074
31,normal_036,tumor_097,tumor_064
32,normal_029,test_038,test_104
33,normal_125,tumor_023,tumor_022
34,normal_119,tumor_086,tumor_059
35,normal_152,tumor_094,test_011
36,normal_071,tumor_021,tumor_070
37,normal_137,tumor_058,test_016
38,normal_043,tumor_004,test_004
39,normal_061,tumor_082,tumor_001
40,normal_157,,
41,normal_038,,
42,normal_034,,
43,normal_062,,
44,normal_139,,
45,normal_149,,
46,normal_002,,
47,normal_160,,
48,normal_156,,
49,normal_120,,
50,normal_042,,
51,normal_056,,
52,normal_055,,
53,normal_053,,
54,normal_090,,
55,normal_035,,
56,normal_009,,
57,normal_044,,
58,normal_092,,
59,normal_047,,
60,normal_051,,
61,normal_017,,
62,normal_074,,
63,normal_131,,
64,normal_118,,
65,normal_049,,
66,normal_132,,
67,normal_037,,
68,normal_039,,
69,normal_033,,
70,normal_144,,
71,normal_108,,
72,normal_129,,
73,normal_019,,
74,normal_111,,
75,normal_046,,
76,normal_109,,
77,normal_025,,
78,normal_095,,
79,normal_136,,
80,normal_030,,
81,normal_113,,
82,normal_024,,
83,normal_083,,
84,normal_004,,
85,normal_112,,
86,normal_069,,
87,normal_105,,
88,normal_143,,
89,normal_130,,
90,normal_060,,
91,test_003,,
92,test_007,,
93,normal_124,,
94,test_012,,
95,test_018,,
96,test_019,,
97,test_020,,
98,normal_020,,
99,test_022,,
100,test_023,,
101,test_024,,
102,test_028,,
103,normal_088,,
104,test_032,,
105,test_034,,
106,test_036,,
107,test_037,,
108,test_039,,
109,normal_153,,
110,test_041,,
111,test_044,,
112,test_045,,
113,test_047,,
114,test_050,,
115,test_053,,
116,test_056,,
117,test_057,,
118,test_058,,
119,test_059,,
120,test_062,,
121,test_063,,
122,test_067,,
123,normal_091,,
124,test_072,,
125,test_076,,
126,test_078,,
127,test_080,,
128,test_081,,
129,normal_081,,
130,test_085,,
131,test_086,,
132,test_087,,
133,test_088,,
134,test_091,,
135,test_095,,
136,test_096,,
137,test_098,,
138,test_100,,
139,test_101,,
140,normal_006,,
141,test_103,,
142,test_106,,
143,test_107,,
144,test_109,,
145,test_111,,
146,test_112,,
147,test_115,,
148,test_118,,
149,test_119,,
150,test_120,,
151,normal_093,,
152,test_123,,
153,test_124,,
154,test_125,,
155,test_126,,
156,test_128,,
157,test_129,,
158,test_130,,
159,normal_158,,
160,normal_133,,
161,normal_012,,
162,normal_048,,
163,normal_141,,
164,normal_054,,
165,normal_027,,
166,normal_011,,
167,normal_079,,
168,normal_028,,
169,normal_014,,
170,normal_023,,
171,normal_021,,
172,normal_135,,
173,normal_013,,
174,normal_031,,
175,normal_094,,
176,normal_096,,
177,normal_102,,
178,normal_015,,
179,normal_121,,
180,normal_110,,
181,normal_050,,
182,normal_097,,
183,normal_022,,
184,normal_098,,
185,normal_151,,
186,normal_082,,
187,normal_123,,
188,normal_005,,
189,normal_099,,
190,normal_140,,
191,tumor_020,,
192,tumor_076,,
193,tumor_037,,
194,tumor_008,,
195,tumor_013,,
196,tumor_067,,
197,tumor_042,,
198,tumor_018,,
199,tumor_003,,
200,tumor_006,,
201,tumor_034,,
202,tumor_111,,
203,tumor_068,,
204,tumor_092,,
205,tumor_109,,
206,tumor_088,,
207,tumor_063,,
208,tumor_011,,
209,tumor_074,,
210,tumor_052,,
211,tumor_062,,
212,tumor_010,,
213,tumor_099,,
214,tumor_049,,
215,tumor_077,,
216,tumor_014,,
217,tumor_009,,
218,tumor_054,,
219,tumor_061,,
220,tumor_091,,
221,tumor_078,,
222,tumor_102,,
223,tumor_101,,
224,tumor_045,,
225,tumor_100,,
226,tumor_105,,
227,tumor_002,,
228,tumor_107,,
229,tumor_029,,
230,tumor_046,,
231,tumor_096,,
