,train,val,test
0,normal_052,test_003,test_041
1,normal_087,test_060,normal_039
2,normal_045,normal_027,normal_131
3,normal_115,test_023,normal_151
4,normal_064,normal_116,test_018
5,normal_106,normal_085,test_101
6,normal_154,normal_080,normal_077
7,normal_134,normal_090,normal_145
8,normal_117,normal_157,test_055
9,normal_040,normal_053,normal_088
10,normal_070,normal_144,normal_008
11,normal_072,normal_036,normal_069
12,normal_041,test_031,normal_148
13,normal_159,test_059,test_034
14,normal_126,normal_058,normal_094
15,normal_101,normal_127,test_078
16,normal_089,test_028,normal_043
17,normal_003,normal_014,test_070
18,normal_065,test_128,normal_030
19,normal_007,normal_063,test_017
20,normal_001,normal_079,normal_078
21,normal_016,normal_060,normal_104
22,normal_026,normal_051,normal_020
23,normal_057,normal_071,test_022
24,normal_150,test_074,tumor_018
25,normal_073,test_102,test_117
26,normal_128,tumor_020,tumor_019
27,normal_010,tumor_107,tumor_036
28,normal_059,tumor_042,tumor_080
29,normal_114,tumor_083,tumor_110
30,normal_018,tumor_090,test_002
31,normal_029,tumor_039,test_026
32,normal_125,tumor_058,tumor_095
33,normal_119,tumor_082,tumor_056
34,normal_152,tumor_007,tumor_079
35,normal_137,tumor_064,tumor_013
36,normal_061,tumor_047,tumor_010
37,normal_038,tumor_005,tumor_040
38,normal_034,tumor_078,tumor_017
39,normal_062,tumor_001,test_090
40,normal_075,,
41,normal_139,,
42,normal_149,,
43,normal_002,,
44,normal_160,,
45,normal_156,,
46,normal_120,,
47,normal_142,,
48,normal_042,,
49,normal_056,,
50,normal_055,,
51,normal_035,,
52,normal_009,,
53,normal_107,,
54,normal_044,,
55,normal_092,,
56,normal_047,,
57,normal_017,,
58,normal_074,,
59,normal_118,,
60,normal_066,,
61,normal_103,,
62,normal_146,,
63,normal_049,,
64,normal_132,,
65,normal_037,,
66,normal_033,,
67,normal_108,,
68,normal_100,,
69,normal_129,,
70,normal_019,,
71,normal_111,,
72,normal_046,,
73,normal_109,,
74,normal_025,,
75,normal_138,,
76,normal_084,,
77,normal_095,,
78,normal_136,,
79,normal_113,,
80,normal_024,,
81,normal_083,,
82,normal_032,,
83,normal_068,,
84,normal_004,,
85,normal_112,,
86,normal_105,,
87,normal_143,,
88,normal_130,,
89,test_005,,
