,train,val,test
0,normal_052,normal_044,test_055
1,normal_087,normal_098,normal_012
2,normal_045,normal_029,test_103
3,normal_115,test_120,normal_026
4,normal_064,test_006,normal_159
5,normal_106,normal_144,normal_037
6,normal_145,normal_092,test_083
7,normal_085,normal_102,test_072
8,normal_154,normal_122,normal_142
9,normal_040,normal_016,normal_105
10,normal_127,test_009,normal_008
11,normal_070,test_017,test_019
12,normal_072,normal_097,test_024
13,normal_041,normal_117,normal_057
14,normal_078,normal_093,normal_139
15,normal_126,normal_134,test_118
16,normal_101,test_089,test_050
17,normal_089,normal_094,test_018
18,normal_003,test_056,normal_058
19,normal_065,normal_084,test_098
20,normal_007,normal_039,test_096
21,normal_001,test_035,normal_157
22,normal_104,normal_021,normal_116
23,normal_150,normal_083,test_077
24,normal_073,tumor_062,test_102
25,normal_128,tumor_103,test_094
26,normal_010,tumor_041,tumor_044
27,normal_059,test_075,tumor_022
28,normal_114,tumor_065,tumor_099
29,normal_080,tumor_004,tumor_111
30,normal_018,test_010,tumor_050
31,normal_036,tumor_051,tumor_069
32,normal_148,test_048,test_021
33,normal_125,tumor_086,tumor_012
34,normal_119,tumor_031,tumor_090
35,normal_152,test_066,tumor_082
36,normal_071,tumor_040,tumor_042
37,normal_137,test_108,tumor_109
38,normal_043,tumor_074,tumor_029
39,normal_061,tumor_013,tumor_021
40,normal_038,,
41,normal_034,,
42,normal_062,,
43,normal_075,,
44,normal_149,,
45,normal_002,,
46,normal_160,,
47,normal_156,,
48,normal_120,,
49,normal_042,,
50,normal_056,,
51,normal_055,,
52,normal_053,,
53,normal_090,,
54,normal_035,,
55,normal_009,,
56,normal_107,,
57,normal_047,,
58,normal_051,,
59,normal_017,,
60,normal_074,,
61,normal_131,,
62,normal_118,,
63,normal_066,,
64,normal_103,,
65,normal_146,,
66,normal_049,,
67,normal_132,,
68,normal_033,,
69,normal_063,,
70,normal_108,,
71,normal_100,,
72,normal_129,,
73,normal_019,,
74,normal_111,,
75,normal_046,,
76,normal_109,,
77,normal_025,,
78,normal_138,,
79,normal_095,,
80,normal_136,,
81,normal_030,,
82,normal_113,,
83,normal_024,,
84,normal_032,,
85,normal_068,,
86,normal_004,,
87,normal_112,,
88,normal_069,,
89,normal_143,,
90,normal_130,,
91,normal_060,,
92,test_003,,
93,test_005,,
