,train,val,test
0,normal_087,normal_052,normal_053
1,normal_045,normal_030,normal_143
2,normal_115,normal_027,test_023
3,normal_064,normal_154,normal_157
4,normal_106,test_012,normal_151
5,normal_058,normal_043,normal_072
6,normal_085,normal_100,test_017
7,normal_134,test_025,normal_044
8,normal_117,normal_066,test_081
9,normal_040,normal_075,test_056
10,normal_127,test_060,normal_132
11,normal_041,test_054,normal_008
12,normal_159,test_007,normal_113
13,normal_078,test_035,normal_145
14,normal_126,test_076,normal_120
15,normal_101,test_112,normal_018
16,normal_089,normal_050,normal_144
17,normal_003,normal_105,normal_029
18,normal_065,test_059,normal_070
19,normal_007,test_057,normal_103
20,normal_001,test_031,normal_082
21,normal_104,normal_118,test_077
22,normal_016,normal_057,normal_128
23,normal_026,normal_077,test_045
24,normal_116,tumor_011,tumor_036
25,normal_150,tumor_052,tumor_054
26,normal_073,tumor_093,test_046
27,normal_010,tumor_025,test_082
28,normal_059,tumor_095,tumor_069
29,normal_114,tumor_062,tumor_066
30,normal_080,tumor_061,tumor_081
31,normal_036,tumor_068,tumor_009
32,normal_148,tumor_101,tumor_108
33,normal_125,test_099,tumor_060
34,normal_119,test_065,tumor_090
35,normal_152,test_016,test_117
36,normal_071,test_021,tumor_046
37,normal_137,test_090,test_052
38,normal_061,test_108,tumor_017
39,normal_038,test_069,test_116
40,normal_034,,
41,normal_062,,
42,normal_139,,
43,normal_149,,
44,normal_002,,
45,normal_160,,
46,normal_156,,
47,normal_142,,
48,normal_042,,
49,normal_056,,
50,normal_055,,
51,normal_090,,
52,normal_035,,
53,normal_009,,
54,normal_107,,
55,normal_092,,
56,normal_047,,
57,normal_051,,
58,normal_017,,
59,normal_074,,
60,normal_131,,
61,normal_146,,
62,normal_049,,
63,normal_037,,
64,normal_039,,
65,normal_033,,
66,normal_063,,
67,normal_108,,
68,normal_129,,
69,normal_019,,
70,normal_111,,
71,normal_046,,
72,normal_109,,
73,normal_025,,
74,normal_138,,
75,normal_084,,
76,normal_095,,
77,normal_136,,
78,normal_024,,
79,normal_083,,
80,normal_032,,
81,normal_068,,
82,normal_004,,
83,normal_112,,
84,normal_069,,
85,normal_130,,
86,normal_060,,
87,test_003,,
88,test_005,,
89,test_006,,
90,test_009,,
91,normal_124,,
92,test_014,,
93,test_015,,
94,test_018,,
95,test_019,,
96,test_020,,
97,normal_020,,
98,test_022,,
99,test_024,,
100,test_028,,
101,normal_088,,
102,test_032,,
103,test_034,,
104,test_036,,
105,test_037,,
106,test_039,,
107,normal_153,,
108,test_041,,
109,test_042,,
110,test_043,,
111,test_044,,
112,test_047,,
113,test_050,,
114,test_053,,
115,test_055,,
116,test_058,,
117,test_062,,
118,test_063,,
119,test_067,,
120,test_070,,
121,normal_091,,
122,test_072,,
123,test_078,,
124,test_080,,
125,normal_081,,
126,test_083,,
127,test_085,,
128,test_086,,
129,test_087,,
130,test_088,,
131,test_089,,
132,test_091,,
133,test_093,,
134,test_095,,
135,test_096,,
136,test_098,,
137,test_100,,
138,test_101,,
139,normal_006,,
140,test_103,,
141,test_106,,
142,test_107,,
143,test_109,,
144,test_111,,
145,test_115,,
146,test_118,,
147,test_119,,
148,test_120,,
149,normal_093,,
150,test_123,,
151,test_124,,
152,test_125,,
153,test_126,,
154,test_127,,
155,test_128,,
156,test_129,,
157,test_130,,
158,normal_158,,
159,normal_133,,
160,normal_012,,
161,normal_048,,
162,normal_141,,
163,normal_054,,
164,normal_011,,
165,normal_079,,
166,normal_028,,
167,normal_076,,
168,normal_014,,
169,normal_023,,
170,normal_147,,
171,normal_021,,
172,normal_135,,
173,normal_013,,
174,normal_031,,
175,normal_094,,
176,normal_096,,
177,normal_102,,
178,normal_122,,
179,normal_015,,
180,normal_121,,
181,normal_110,,
182,normal_097,,
183,normal_022,,
184,normal_098,,
185,normal_067,,
186,normal_123,,
187,normal_005,,
188,normal_099,,
189,normal_140,,
190,normal_155,,
191,tumor_020,,
192,tumor_076,,
193,tumor_037,,
194,tumor_094,,
195,tumor_008,,
196,tumor_013,,
197,tumor_028,,
198,tumor_067,,
199,tumor_065,,
200,tumor_042,,
201,tumor_018,,
202,tumor_004,,
203,tumor_003,,
204,tumor_006,,
205,tumor_034,,
206,tumor_106,,
207,tumor_022,,
208,tumor_111,,
209,tumor_092,,
210,tumor_109,,
211,tumor_088,,
212,tumor_082,,
213,tumor_063,,
214,tumor_074,,
215,tumor_010,,
216,tumor_099,,
217,tumor_049,,
218,tumor_023,,
219,tumor_064,,
220,tumor_086,,
221,tumor_077,,
222,tumor_014,,
223,tumor_001,,
224,tumor_091,,
225,tumor_078,,
226,tumor_102,,
227,tumor_098,,
228,tumor_045,,
229,tumor_100,,
230,tumor_105,,
231,tumor_002,,
232,tumor_107,,
233,tumor_029,,
234,tumor_096,,
235,tumor_073,,
236,tumor_016,,
237,tumor_024,,
238,tumor_019,,
239,tumor_031,,
240,tumor_110,,
241,tumor_039,,
242,tumor_059,,
243,tumor_084,,
244,tumor_097,,
245,tumor_072,,
246,tumor_080,,
247,tumor_079,,
248,tumor_089,,
249,tumor_103,,
250,tumor_027,,
251,tumor_056,,
252,tumor_075,,
253,test_001,,
254,test_002,,
255,test_004,,
256,test_008,,
257,test_010,,
258,test_011,,
259,test_013,,
260,test_026,,
261,test_027,,
262,test_029,,
263,test_030,,
264,tumor_007,,
265,test_033,,
266,test_038,,
267,test_040,,
268,test_048,,
269,test_051,,
270,tumor_033,,
271,test_061,,
272,test_064,,
273,test_066,,
274,test_068,,
275,test_071,,
276,test_073,,
277,test_074,,
278,test_075,,
279,test_079,,
280,test_084,,
281,test_092,,
282,test_094,,
283,test_097,,
284,test_102,,
285,test_104,,
286,test_105,,
287,test_110,,
288,tumor_015,,
289,test_113,,
290,test_114,,
291,test_121,,
292,test_122,,
293,tumor_055,,
294,tumor_070,,
295,tumor_038,,
296,tumor_032,,
297,tumor_050,,
298,tumor_041,,
299,tumor_035,,
300,tumor_005,,
301,tumor_058,,
302,tumor_030,,
303,tumor_053,,
304,tumor_048,,
305,tumor_026,,
306,tumor_012,,
307,tumor_047,,
308,tumor_057,,
309,tumor_044,,
310,tumor_071,,
311,tumor_021,,
312,tumor_051,,
313,tumor_040,,
314,tumor_083,,
315,tumor_085,,
316,tumor_043,,
317,tumor_104,,
318,tumor_087,,
