,train,val,test
0,normal_052,normal_160,test_111
1,normal_087,test_041,normal_076
2,normal_115,test_118,normal_121
3,normal_064,normal_074,test_107
4,normal_106,normal_018,normal_131
5,normal_058,normal_137,test_095
6,normal_145,normal_088,normal_093
7,normal_085,normal_143,normal_026
8,normal_154,normal_055,test_019
9,normal_117,test_035,normal_153
10,normal_040,normal_100,normal_067
11,normal_008,test_091,normal_027
12,normal_127,normal_066,test_005
13,normal_070,test_047,normal_096
14,normal_072,test_044,normal_065
15,normal_041,test_129,normal_020
16,normal_159,normal_002,test_043
17,normal_078,normal_045,normal_134
18,normal_126,normal_023,test_059
19,normal_101,test_018,normal_125
20,normal_089,normal_119,normal_032
21,normal_003,test_037,normal_107
22,normal_007,test_130,test_087
23,normal_001,test_125,normal_042
24,normal_104,test_016,tumor_075
25,normal_016,tumor_094,test_052
26,normal_057,tumor_012,tumor_073
27,normal_116,test_073,tumor_080
28,normal_150,tumor_027,test_105
29,normal_073,test_113,tumor_101
30,normal_128,test_051,tumor_100
31,normal_010,tumor_090,tumor_108
32,normal_059,test_029,tumor_077
33,normal_114,tumor_092,test_121
34,normal_080,tumor_018,tumor_086
35,normal_036,tumor_043,tumor_099
36,normal_029,tumor_074,tumor_017
37,normal_148,tumor_029,tumor_076
38,normal_152,test_097,tumor_046
39,normal_071,test_068,tumor_039
40,normal_043,,
41,normal_061,,
42,normal_157,,
43,normal_038,,
44,normal_034,,
45,normal_062,,
46,normal_075,,
47,normal_139,,
48,normal_149,,
49,normal_156,,
50,normal_120,,
51,normal_142,,
52,normal_056,,
53,normal_053,,
54,normal_090,,
55,normal_035,,
56,normal_009,,
57,normal_044,,
58,normal_092,,
59,normal_047,,
60,normal_051,,
61,normal_017,,
62,normal_118,,
63,normal_103,,
64,normal_146,,
65,normal_049,,
66,normal_132,,
67,normal_037,,
68,normal_039,,
69,normal_033,,
70,normal_144,,
71,normal_063,,
72,normal_108,,
73,normal_129,,
74,normal_019,,
75,normal_111,,
76,normal_046,,
77,normal_109,,
78,normal_025,,
79,normal_138,,
80,normal_084,,
81,normal_095,,
82,normal_136,,
83,normal_030,,
84,normal_113,,
85,normal_024,,
86,normal_083,,
87,normal_068,,
88,normal_004,,
89,normal_112,,
90,normal_069,,
91,normal_105,,
92,normal_130,,
93,normal_060,,
94,test_003,,
95,test_006,,
96,test_007,,
97,test_009,,
98,normal_124,,
99,test_012,,
100,test_014,,
101,test_015,,
102,test_017,,
103,test_020,,
104,test_022,,
105,test_023,,
106,test_024,,
107,test_025,,
108,test_028,,
109,test_031,,
110,test_032,,
111,test_034,,
112,test_036,,
113,test_039,,
114,test_042,,
115,test_045,,
116,test_050,,
117,test_053,,
118,test_054,,
119,test_055,,
120,test_056,,
121,test_057,,
122,test_058,,
123,test_060,,
124,test_062,,
125,test_063,,
126,test_067,,
127,test_070,,
128,normal_091,,
129,test_072,,
130,test_076,,
131,test_077,,
132,test_078,,
133,test_080,,
134,test_081,,
135,normal_081,,
136,test_083,,
137,test_085,,
138,test_086,,
139,test_088,,
140,test_089,,
141,test_093,,
142,test_096,,
143,test_098,,
144,test_100,,
145,test_101,,
146,normal_006,,
147,test_103,,
148,test_106,,
149,test_109,,
150,test_112,,
151,test_115,,
152,test_119,,
153,test_120,,
154,test_123,,
155,test_124,,
156,test_126,,
157,test_127,,
158,test_128,,
159,normal_158,,
160,normal_133,,
161,normal_012,,
162,normal_048,,
163,normal_141,,
164,normal_077,,
165,normal_054,,
166,normal_011,,
167,normal_079,,
168,normal_028,,
169,normal_014,,
170,normal_147,,
171,normal_021,,
172,normal_135,,
173,normal_013,,
174,normal_031,,
175,normal_094,,
176,normal_102,,
177,normal_122,,
178,normal_015,,
179,normal_110,,
180,normal_050,,
181,normal_097,,
182,normal_022,,
183,normal_098,,
184,normal_151,,
185,normal_082,,
186,normal_123,,
187,normal_005,,
188,normal_099,,
189,normal_140,,
190,normal_155,,
191,tumor_020,,
192,tumor_037,,
193,tumor_008,,
194,tumor_013,,
195,tumor_028,,
196,tumor_067,,
197,tumor_065,,
198,tumor_042,,
199,tumor_004,,
200,tumor_003,,
201,tumor_006,,
202,tumor_034,,
203,tumor_106,,
204,tumor_022,,
205,tumor_111,,
206,tumor_068,,
207,tumor_109,,
208,tumor_088,,
209,tumor_082,,
210,tumor_063,,
211,tumor_011,,
212,tumor_036,,
213,tumor_052,,
214,tumor_062,,
215,tumor_010,,
216,tumor_049,,
217,tumor_023,,
218,tumor_064,,
219,tumor_014,,
220,tumor_009,,
221,tumor_001,,
222,tumor_054,,
223,tumor_061,,
224,tumor_091,,
225,tumor_078,,
226,tumor_102,,
227,tumor_098,,
228,tumor_045,,
229,tumor_105,,
230,tumor_002,,
231,tumor_107,,
232,tumor_096,,
233,tumor_016,,
234,tumor_024,,
235,tumor_019,,
236,tumor_093,,
237,tumor_031,,
238,tumor_110,,
239,tumor_059,,
240,tumor_084,,
241,tumor_097,,
242,tumor_072,,
243,tumor_060,,
244,tumor_095,,
245,tumor_079,,
246,tumor_089,,
247,tumor_103,,
248,tumor_056,,
249,tumor_069,,
250,test_001,,
251,test_002,,
252,test_004,,
253,test_008,,
254,test_010,,
255,test_011,,
256,test_013,,
257,test_021,,
258,test_026,,
259,test_027,,
260,test_030,,
261,tumor_007,,
262,test_033,,
263,test_038,,
264,test_040,,
265,test_046,,
266,test_048,,
267,tumor_033,,
268,test_061,,
269,tumor_081,,
270,test_064,,
271,test_065,,
272,test_066,,
273,test_069,,
274,test_071,,
275,test_074,,
276,test_075,,
277,test_079,,
278,test_082,,
279,test_084,,
280,test_090,,
281,test_092,,
282,test_094,,
283,test_099,,
284,test_102,,
285,test_104,,
286,test_108,,
287,test_110,,
288,tumor_015,,
289,test_114,,
290,test_116,,
291,test_117,,
292,test_122,,
293,tumor_055,,
294,tumor_070,,
295,tumor_038,,
296,tumor_032,,
297,tumor_050,,
298,tumor_041,,
299,tumor_035,,
300,tumor_025,,
301,tumor_005,,
302,tumor_058,,
303,tumor_030,,
304,tumor_053,,
305,tumor_048,,
306,tumor_026,,
307,tumor_047,,
308,tumor_066,,
309,tumor_057,,
310,tumor_044,,
311,tumor_071,,
